Sort,SampleLayer_ID,Soil_Series_Type,Surface_Subsurface,Layer_Designation,UpperDepth_cm,LowerDepth_cm,Total_HorizonDepth_cm,HR_Depth,Horizon,Horizon_Simple,Soil_Series,A_Horizon,A_Thickness,ParentMaterials,AnthropogenicMaterials_YN,Anthro_Transported_Material_YN,Texture,Texture_Rubble_Detail,Percent_Sand,Percent_Sand_scale,Percent_Silt,Percent_Silt_scale,Percent_Clay,Percent_Clay_scale,F_Sand_Percent,VF_Sand_Percent,Percent_Rock_Fragment,Rock_Fragment_Type,Organic_Content,Soil_Core_Notes,Redox_Present_YN,Redox_Color,Redox_Amount,Redox_Size,Redox_Contrast,BulkDensity_gcm3,BulkDensity_scale,Tenth_bar_H2O,Third_bar_H2O,Third_bar_scale,Fifteen_bar_H2O,Fifteen_bar_scale,Ksat_cmhr,Unsaturated_K2cm_cmhr,Borehole_Ksat_cmhr,Texture_mod,ksat_texture,theta_r_texture,theta_s_texture,alpha_texture,n_texture,Texture_Test,Horizon_Simple,Soil_Series,A_Horizon,Grade,Type,Top_Type,Comments
5208,CLS29CLP58L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5209,CLS29CLP58L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5210,CLS29CLP59L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5211,CLS29CLP59L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5212,CLS29CLP59L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5213,CLS30CLP60L1_R,Reference,Surface,Surface,0,28,28,,H1,H,Mitiwanga,,,,,,,,26.4,0.267748479,53.1,0.545174538,20.5,0.217391304,8.3,8.7,,,,,,,,,,,NA,,27.6,0.342315324,13.6,0.259468626,0.917,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Mitiwanga,,NA,NA,,
5214,CLS30CLP60L2_R,Reference,Subsurface,,28,56,28,,H2,H,Mitiwanga,,,,,,,,20.5,0.207910751,50,0.513347023,29.5,0.312831389,6.5,6.5,,,,,,,,,,,NA,,28.1,0.349888672,16,0.307922151,0.917,,0.917,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Mitiwanga,,NA,NA,,
5215,CLS30CLP60L3_R,Reference,Subsurface,,56,71,15,,H3,H,Mitiwanga,,,,,,,,37.4,0.379310345,35.6,0.36550308,27,0.286320255,11.8,11.1,,,,,,,,,,,NA,,24.8,0.299904576,12.8,0.243317451,2.329,,2.329,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Mitiwanga,,NA,NA,,
5216,CLS30CLP60L4_R,Reference,Subsurface,,71,81,10,,H4,H,Mitiwanga,,,,,,,,,NA,,NA,,NA,,,,,,,,,,,,,NA,,,NA,,NA,0.705,,0.705,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,H,Mitiwanga,,NA,NA,,
5217,CLS30CLP61L1_R,Reference,Surface,Surface,0,28,28,,H1,H,Mitiwanga,,,,,,,,26.4,0.267748479,53.1,0.545174538,20.5,0.217391304,8.3,8.7,,,,,,,,,,,NA,,27.6,0.342315324,13.6,0.259468626,0.917,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Mitiwanga,,NA,NA,,
5218,CLS30CLP61L2_R,Reference,Subsurface,,28,56,28,,H2,H,Mitiwanga,,,,,,,,20.5,0.207910751,50,0.513347023,29.5,0.312831389,6.5,6.5,,,,,,,,,,,NA,,28.1,0.349888672,16,0.307922151,0.917,,0.917,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Mitiwanga,,NA,NA,,
5219,CLS30CLP61L3_R,Reference,Subsurface,,56,71,15,,H3,H,Mitiwanga,,,,,,,,37.4,0.379310345,35.6,0.36550308,27,0.286320255,11.8,11.1,,,,,,,,,,,NA,,24.8,0.299904576,12.8,0.243317451,2.329,,2.329,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Mitiwanga,,NA,NA,,
5220,CLS30CLP61L4_R,Reference,Subsurface,,71,81,10,,H4,H,Mitiwanga,,,,,,,,,NA,,NA,,NA,,,,,,,,,,,,,NA,,,NA,,NA,0.705,,0.705,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,0,H,Mitiwanga,,NA,NA,,
5221,CLS31CLP62L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5222,CLS31CLP62L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5223,CLS31CLP62L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5224,CLS31CLP63L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5225,CLS31CLP63L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5226,CLS31CLP63L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5227,CLS32CLP64L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5228,CLS32CLP64L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5229,CLS32CLP64L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5230,CLS32CLP65L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5231,CLS32CLP65L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5232,CLS32CLP65L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5233,CLS33CLP66L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5234,CLS33CLP66L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5235,CLS33CLP66L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5236,CLS33CLP67L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5237,CLS33CLP67L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5238,CLS33CLP67L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5239,CLS34CLP68L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5240,CLS34CLP68L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5241,CLS34CLP68L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5242,CLS34CLP69L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5243,CLS34CLP69L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5244,CLS34CLP69L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5245,CLS35CLP70L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5246,CLS35CLP70L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5247,CLS35CLP70L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5248,CLS35CLP71L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5249,CLS35CLP71L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5250,CLS35CLP71L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5251,CLS36CLP72L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5252,CLS36CLP72L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5253,CLS36CLP72L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5254,CLS36CLP73L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5255,CLS36CLP73L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5256,CLS36CLP73L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5257,CLS36CLP74L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5258,CLS36CLP74L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5259,CLS36CLP74L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5260,CLS37CLP75L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5261,CLS37CLP75L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5262,CLS37CLP75L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5263,CLS37CLP76L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5264,CLS37CLP76L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5265,CLS37CLP76L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5266,CLS38CLP77L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5267,CLS38CLP77L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5268,CLS38CLP77L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5269,CLS38CLP78L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5270,CLS38CLP78L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5271,CLS38CLP78L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5272,CLS39CLP79L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5273,CLS39CLP79L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5274,CLS39CLP79L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5275,CLS39CLP80L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5276,CLS39CLP80L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5277,CLS39CLP80L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5278,CLS40CLP81L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5279,CLS40CLP81L2_R,Reference,Subsurface,,23,81,58,,H2,H,Elnora,,,,,,,,79.9,0.810344828,16.6,0.170431211,3.5,0.037115589,39.6,25.3,,,,,,,,,,,NA,17.2,11.4,0.096938853,3.1,0.047484454,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5280,CLS40CLP81L3_R,Reference,Subsurface,,81,152,71,,H3,H,Elnora,,,,,,,,95.9,0.972616633,0.6,0.006160164,3.5,0.037115589,62.5,14.1,,,,,,,,,,,NA,13,9,0.060586783,2.8,0.041427764,9.174,,9.174,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
5281,CLS40CLP82L1_R,Reference,Surface,Surface,0,23,23,,H1,H,Elnora,,,,,,,,87.3,0.885395538,6.7,0.068788501,6,0.063626723,48.5,23.8,,,,,,,,,,,NA,23.1,18.4,0.202965723,8.8,0.162561576,2.823,,,OtherGroup,3.334,0.08848,0.44717,0.0319,1.3711,100,H,Elnora,,NA,NA,,
