Sort,SampleLayer_ID,Soil_Series_Type,Surface_Subsurface,Layer_Designation,UpperDepth_cm,LowerDepth_cm,Total_HorizonDepth_cm,HR_Depth,Horizon,Horizon_Simple,Soil_Series,A_Horizon,A_Thickness,ParentMaterials,AnthropogenicMaterials_YN,Anthro_Transported_Material_YN,Texture,Texture_Rubble_Detail,Percent_Sand,Percent_Sand_scale,Percent_Silt,Percent_Silt_scale,Percent_Clay,Percent_Clay_scale,F_Sand_Percent,VF_Sand_Percent,Percent_Rock_Fragment,Rock_Fragment_Type,Organic_Content,Soil_Core_Notes,Redox_Present_YN,Redox_Color,Redox_Amount,Redox_Size,Redox_Contrast,BulkDensity_gcm3,BulkDensity_scale,Tenth_bar_H2O,Third_bar_H2O,Third_bar_scale,Fifteen_bar_H2O,Fifteen_bar_scale,Ksat_cmhr,Unsaturated_K2cm_cmhr,Borehole_Ksat_cmhr,Texture_mod,ksat_texture,theta_r_texture,theta_s_texture,alpha_texture,n_texture,Texture_Test,Horizon_Simple,Soil_Series,A_Horizon,Grade,Type,Top_Type,Comments
25,CLS3CLP6L1,Urban Observed,Surface,Surface,0,20,20,,^A,A,Hornell,A1,20,Anthropogenic over Glacial Till,No,Yes,sl,sandy loam,60.08,0.609330629,22.14,0.227310062,17.78,0.18854719,,,15,gravels,,,No,,,,,,NA,,,NA,,NA,0.09,0.09,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,100,A,Hornell,A1,weak,medium granular structure,,
26,CLS3CLP6L2,Urban Observed,Subsurface,,20,48,28,,^C1u,C,Hornell,,,,No,Yes,l,loam,,NA,,NA,,NA,,,25,shale fragments,,,No,,,,,,NA,,,NA,,NA,,,,loam,1.992,0.069,0.3991,0.0111,1.4737,0,C,Hornell,,moderate,thin and medium plate-like structure,,
27,CLS3CLP6L3,Urban Observed,Subsurface,,48,74,26,,^C2u,C,Hornell,,,,No,Yes,sl,sandy loam,,NA,,NA,,NA,,,25,"brick, wood",,,No,,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Hornell,,moderate,thin and medium plate-like structure,,
28,CLS3CLP6L4,Urban Observed,Subsurface,,74,94,20,,^C3,C,Hornell,,,,No,Yes,ls,loamy sand,,NA,,NA,,NA,,,5,gravels,,,No,,,,,,NA,,,NA,,NA,,,,loamSand,8.689,0.0485,0.3904,0.0347,1.7466,0,C,Hornell,,moderate,thin and medium plate-like structure,,
29,CLS3CLP6L5,Urban Observed,Subsurface,HR 1,94,125,31,94,^C4u,C,Hornell,,,,No,Yes,sicl,silty clay loam,14.36,0.145638945,54.98,0.564476386,30.66,0.325132556,,,10,brick,,,Yes,10YR 6/1; 10YR 5/8,,,,,NA,,,NA,,NA,0.25,,0.25,siltClayLoam,0.295,0.0901,0.482,0.0084,1.5202,100,C,Hornell,,moderate,thin and medium plate-like structure,,
30,CLS3CLP6L6,Urban Observed,Subsurface,,125,205,80,,2C,C,Hornell,,,,No,No,sil,silt loam,,NA,,NA,,NA,,,0,,,,Yes,10YR 6/2; 10YR 3/1,,,,,NA,,,NA,,NA,,,,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Hornell,,moderate,thin and medium plate-like structure,,
32,CLS4CLP7L1,Urban Observed,Surface,Surface,0,12,12,,^Au,A,Elnora,A1,12,Anthropogenic over Lacustrine,No,Yes,ls,loamy sand,80.46,0.816024341,13.75,0.141170431,5.79,0.061399788,,,25,"concrete, slag",,,No,,,,,,NA,,,NA,,NA,2.16,2.16,,loamSand,8.689,0.0485,0.3904,0.0347,1.7466,100,A,Elnora,A1,weak,fine granular structure,,
33,CLS4CLP7L2,Urban Observed,Subsurface,,12,34,22,,^C1u,C,Elnora,,,,No,Yes,l,loam,,NA,,NA,,NA,,,15,"charcoal, gravel",,,No,,,,,,NA,,,NA,,NA,,,,loam,1.992,0.069,0.3991,0.0111,1.4737,0,C,Elnora,,NA,single grain,,
34,CLS4CLP7L3,Urban Observed,Subsurface,,34,105,71,,^C2u,C,Elnora,,,,No,Yes,fsl,fine sandy loam,,NA,,NA,,NA,,,20,sandstone fragments,,,No,,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
35,CLS4CLP7L4,Urban Observed,Subsurface,,105,150,45,,2C3,C,Elnora,,,,No,No,sl,sandy loam,,NA,,NA,,NA,,,0,,,,Yes,10YR 7/1; 10YR 5/8,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
